State |City|MSA|Road Length [Miles]|Highway Length [Miles]||||||
Alabama |Birmingham|13820|101975|4291||||||
Alaska|Anchorage|11260|15528|2230|||||| 
Alberta, Canada|Calgary|||||||||
Alberta, Canada|Edmonton|||||||||
Arizona |Greater Phoenix|38060|66035|3195||||||
British Columbia, Canda|Vancouver|||||||||
California|Cal Poly Pomona-Fairplex-Pomona|11244|180800|14175||||||
California|Concord-Freemont-Oakland-Richmond-San Francisco|36084|180800|14175||||||
California|Fresno|23420|180800|14175||||||
California|Irvine|11244|180800|14175||||||
California|Long Beach-Huntington Beach|11244|180800|14175||||||
California|Los Angeles|11244|180800|14175||||||
California|Sacramento|40900|180800|14175||||||
California|San Diego-Chula Vista|41740|180800|14175||||||
California|San Jose|41940|180800|14175||||||
Chihuahua, Mexico||||||||||
Colorado|Denver|19740|88828|4909||||||
Connecticut|Bridgeport-New Haven|71950|21531|1442||||||
Connecticut|Danbury|72850|21531|1442||||||
Connecticut|Greater Stamford|71950|21531|1442||||||
Connecticut|Greater Hartford|73450|21531|1442||||||
Connecticut|Waterbury|78700|21531|1442||||||
Delaware|Fairfax|72400|6427|424||||||
Delaware|Wilmington|48864|6427|424||||||
Florida|Manatee-Sarasota|35840|122736|8983||||||
Florida|Orlando|36740|122736|8983||||||
Florida|South Florida (Miami-Dade, Broward, Palm Beach)|33124|122736|8983||||||
Florida|Tampa-St. Petersburg|45300|122736|8983||||||
Georgia|Metro Atlanta|12060|128235|7189||||||
Georgia|Stonecrest|12060|128235|7189||||||
||||||||||
Hidalgo, Mexico||||||||||
Idaho||||||||||
Illinois|Chicago|16974|145892|7852||||||
Indiana|Gary-Hammond|23844|96616|4224||||||
Indiana|Indianapolis-Fishers|26900|96616|4224||||||
Iowa|Greater Des Moines|19780|114741|5126||||||
Kansas|Kansas City|28140|142047|4420||||||
Kentucky|Louisville|31140|79942|3301||||||
Louisiana|||61411|3231||||||
Maine|Brunswick||22898|1328||||||
Maine|Scarborough||22898|1328||||||
Manitoba, Canada|Winnipeg|||||||||
Maryland|Baltimore|12580|32147|2157||||||
Maryland|Charles County|47894|32147|2157||||||
Maryland|Montgomery County|43524|32147|2157||||||
Maryland|Prince George&rsquo;s County| |32147|2157||||||
Massachusetts|Boston|14460|36632|2966||||||
Massachusetts|Everett|78100|36632|2966||||||
Massachusetts|Fall River|39300|36632|2966||||||
Massachusetts|Foxborough|71654|36632|2966||||||
Massachusetts|Gardner|74500|36632|2966||||||
Massachusetts|Holyoke|78100|36632|2966||||||
Massachusetts|Lawrence-Haverhill-Andover-Methuen-North Andover|74204|36632|2966||||||
Massachusetts|Lee||36632|2966||||||
Massachusetts|Leominster|74500|36632|2966||||||
Massachusetts|Lowell-Billerica-Tewksbury|74804|36632|2966||||||
Massachusetts|Lynn||36632|2966||||||
Massachusetts|Marlborough|73104|36632|2966||||||
Massachusetts|New Bedford|75550|36632|2966||||||
Massachusetts|Northborough|79600|36632|2966||||||
||||||||||
Massachusetts|Peabody|76524|36632|2966||||||
Massachusetts|Pittsfield|76600|36632|2966||||||
Massachusetts|Quincy|71654|36632|2966||||||
Massachusetts|Somerville|73654|36632|2966||||||
Massachusetts|Springfield|78100|36632|2966||||||
Massachusetts|Taunton|78254|36632|2966||||||
Massachusetts|Union Point-Abington-Rockland-Weymouth|71654|36632|2966||||||
Massachusetts|Waltham|71654|36632|2966||||||
Massachusetts|Westborough|79600|36632|2966||||||
Massachusetts|Worcester|79600|36632|2966||||||
Michigan|Detroit-Windsor (Canada and Michigan)||122115|6472||||||
Michigan|Grand Rapids|34340|122115|6472||||||
Minnesota|Minneapolis-Saint Paul|33460|138795|5250||||||
Mississippi|||77027|3634||||||
Missouri|Kansas City|28140|131807|5749||||||
Missouri|St. Louis|41180|131807|5749||||||
Missouri|||131807|5749||||||
Nebraska|Omaha|36540|94988|3717||||||
Nevada|Las Vegas|29820|42582|2557||||||
New Hampshire|Londonderry|75404|16157|932||||||
New Hampshire|Manchester|74950|16157|932||||||
New Jersey|Atlantic City|12100|39071|2970||||||
New Jersey|Bayonne||39071|2970||||||
New Jersey|Camden County|15804|39071|2970||||||
New Jersey|Jersey City|35614|39071|2970||||||
New Jersey|New Brunswick||39071|2970||||||
New Jersey|Newark|35084|39071|2970||||||
New Jersey|Trenton|45940|39071|2970||||||
New Jersey|West Windsor-Mercer County||39071|2970||||||
New Mexico|El Paso-Borderplex Alliance||69111|3377||||||
New Mexico|Santa Teresa-San Jeronimo||69111|3377||||||
||||||||||
New York|Albany|10580|113499|8063||||||
New York|Buffalo-Rochester|40380|113499|8063||||||
New York|Mount Vernon|35620|113499|8063||||||
New York|New Rochelle|35620|113499|8063||||||
New York|New York City-Long Island-Hudson Valley|35620|113499|8063||||||
New York|Syracuse-Utica|45060|113499|8063||||||
New York|Westchester|35614|113499|8063||||||
North Carolina|Charlotte-York County|16740|106522|5667||||||
North Carolina|Greensboro|24660|106522|5667||||||
North Carolina|Hickory|25860|106522|5667||||||
North Carolina|Raleigh|39580|106522|5667||||||
Nova Scotia, Canada||||||||||
Ohio|Cincinnati-Dayton|19380|122974|6607||||||
Ohio|Cleveland|17460|122974|6607||||||
Ohio|Columbus|18140|122974|6607||||||
Ohio|Toledo-Maumee|45780|122974|6607||||||
Oklahoma|Oklahoma City|36420|112988|4151||||||
Oklahoma|Tulsa|46140|112988|4151||||||
Ontario, Canada|Detroit-Windsor|||||||||
Ontario, Canada|Hamilton|||||||||
Ontario, Canada|Ottawa-Gatineau|||||||||
Ontario, Canada|Sault Ste. Marie (Canada and Michigan)|||||||||
Ontario, Canada|Simcoe County|||||||||
Ontario, Canada|Toronto|||||||||
Oregon|Portland|38900|73529|4310||||||
Pennsylvania|Delaware County|34620|120446|7157||||||
Pennsylvania|Harrisburg|25420|120446|7157||||||
Pennsylvania|Lehigh Valley|10900|120446|7157||||||
Pennsylvania|Philadelphia|37964|120446|7157||||||
Pennsylvania|Pittsburgh|38300|120446|7157||||||
Pennsylvania|Northeast Pennsylvania||120446|7157||||||
||||||||||
Puerto Rico|||17184|411||||||
Quebec, Canada|Greater Montreal|||||||||
Mexico|Quer&eacute;taro|||||||||
Rhode Island|East Providence|77200|6052|602||||||
Rhode Island|North Kingstown|77200|6052|602||||||
Rhode Island|Pawtucket-Central Falls|77200|6052|602||||||
Rhode Island|Providence|77200|6052|602||||||
Rhode Island|Richmond|77200|6052|602||||||
Rhode Island|Warwick|77200|6052|602||||||
Rhode Island|Woonsocket|77200|6052|602||||||
South Carolina|Greenville-Spartanburg|24860|76067|3602||||||
Tennessee|Knoxville|28940|95737|5015||||||
Tennessee|Memphis|32820|95737|5015||||||
Tennessee|Nashville|34980|95737|5015||||||
Texas|Austin|12420|313656|18031||||||
Texas|Dallas-Fort Worth|19124|313656|18031||||||
Texas|Frisco||313656|18031||||||
Texas|Houston|26420|313656|18031||||||
Texas|Milam County||313656|18031||||||
Utah||||||||||
Virginia|Alexandria-Arlington-Loudoun-Fairfax (Northern Virginia)|47894|75096|4602||||||
Virginia|Great Richmond|40060|75096|4602||||||
Virginia|Hampton Roads|47260|75096|4602||||||
Virginia|Northern Virginia||75096|4602||||||
Washington|Pudget Sound Region||80332|4557||||||
Washington|Tacoma-Pierce County|42660|80332|4557||||||
Washington, DC||47894|1509|134||||||
Wisconsin|Madison|31540|115458|5958||||||
Wisconsin|Milwaukee|33340|115458|5958||||||
||||||||||
||||||||||
|||||    |||||
