|City|State|State|Local|Total|Rank
0|Long Beach|California|7.250%|3.000%|10.250%|1
1|Chicago|Illinois|6.250%|4.000%|10.250%|1
2|Birmingham|Alabama|4.000%|6.000%|10.000%|3
3|Montgomery|Alabama|4.000%|6.000%|10.000%|3
4|Baton Rouge|Louisiana|5.000%|5.000%|10.000%|3
5|New Orleans|Louisiana|5.000%|5.000%|10.000%|3
6|Seattle|Washington|6.500%|3.100%|9.600%|7
7|Tacoma|Washington|6.500%|3.100%|9.600%|7
8|Fremont|California|7.250%|2.000%|9.250%|9
9|Los Angeles|California|7.250%|2.000%|9.250%|9
10|Oakland|California|7.250%|2.000%|9.250%|9
11|Memphis|Tennessee|7.000%|2.250%|9.250%|9
12|Nashville-Davidson|Tennessee|7.000%|2.250%|9.250%|9
13|Glendale|Arizona|5.600%|3.600%|9.200%|14
14|Atlanta|Georgia|4.000%|4.900%|8.900%|15
15|New York|New York|4.000%|4.875%|8.875%|16
16|Yonkers|New York|4.000%|4.875%|8.875%|16
17|Glendale|California|7.250%|1.500%|8.750%|18
18|San Jose|California|7.250%|1.500%|8.750%|18
19|Stockton|California|7.250%|1.500%|8.750%|18
20|Buffalo|New York|4.000%|4.750%|8.750%|18
21|Spokane|Washington|6.500%|2.200%|8.700%|22
22|St. Louis|Missouri|4.225%|4.454%|8.679%|23
23|Phoenix|Arizona|5.600%|3.000%|8.600%|24
24|Tulsa|Oklahoma|4.500%|4.017%|8.517%|25
25|San Francisco|California|7.250%|1.250%|8.500%|26
26|Aurora|Colorado|2.900%|5.600%|8.500%|26
27|Oklahoma City|Oklahoma|4.500%|3.875%|8.375%|28
28|Kansas City|Missouri|4.225%|4.125%|8.350%|29
29|Sacramento|California|7.250%|1.000%|8.250%|30
30|Aurora|Illinois|6.250%|2.000%|8.250%|30
31|Corpus Christi|Texas|6.250%|2.000%|8.250%|30
32|Laredo|Texas|6.250%|2.000%|8.250%|30
33|Lubbock|Texas|6.250%|2.000%|8.250%|30
34|San Antonio|Texas|6.250%|2.000%|8.250%|30
35|Colorado Springs|Colorado|2.900%|5.350%|8.250%|36
36|Austin|Texas|6.250%|2.000%|8.250%|36
37|Dallas|Texas|6.250%|2.000%|8.250%|36
38|El Paso|Texas|6.250%|2.000%|8.250%|36
39|Fort Worth|Texas|6.250%|2.000%|8.250%|36
40|Garland|Texas|6.250%|2.000%|8.250%|36
41|Houston|Texas|6.250%|2.000%|8.250%|36
42|Irving|Texas|6.250%|2.000%|8.250%|36
43|Plano|Texas|6.250%|2.000%|8.250%|36
44|Henderson|Nevada|6.850%|1.300%|8.150%|45
45|Las Vegas|Nevada|6.850%|1.300%|8.150%|45
46|North Las Vegas|Nevada|6.850%|1.300%|8.150%|45
47|Tucson|Arizona|5.600%|2.500%|8.100%|48
48|Mesa|Arizona|5.600%|2.450%|8.050%|49
49|San Bernardino|California|7.250%|0.750%|8.000%|50
50|Rochester|New York|4.000%|4.000%|8.000%|50
51|Cleveland|Ohio|5.750%|2.250%|8.000%|50
52|Philadelphia|Pennsylvania|6.000%|2.000%|8.000%|50
53|Arlington|Texas|6.250%|1.750%|8.000%|50
54|Fresno|California|7.250%|0.725%|7.975%|55
55|Scottsdale|Arizona|5.600%|2.350%|7.950%|56
56|Chandler|Arizona|5.600%|2.200%|7.800%|57
57|Gilbert|Arizona|5.600%|2.200%|7.800%|57
58|Minneapolis|Minnesota|6.875%|0.900%|7.775%|59
59|Anaheim|California|7.250%|0.500%|7.750%|60
60|Chula Vista|California|7.250%|0.500%|7.750%|60
61|Fontana|California|7.250%|0.500%|7.750%|60
62|Huntington Beach|California|7.250%|0.500%|7.750%|60
63|Irvine|California|7.250%|0.500%|7.750%|60
64|Moreno Valley|California|7.250%|0.500%|7.750%|60
65|Oxnard|California|7.250%|0.500%|7.750%|60
66|Riverside|California|7.250%|0.500%|7.750%|60
67|San Diego|California|7.250%|0.500%|7.750%|60
68|Santa Ana|California|7.250%|0.500%|7.750%|60
69|Reno|Nevada|6.850%|0.875%|7.725%|70
70|Denver|Colorado|2.900%|4.750%|7.650%|71
71|St. Paul|Minnesota|6.875%|0.750%|7.625%|72
72|Columbus|Ohio|5.750%|1.750%|7.500%|73
73|Wichita|Kansas|6.500%|1.000%|7.500%|74
74|Durham|North Carolina|4.750%|2.750%|7.500%|74
75|Modesto|California|7.250%|0.125%|7.375%|76
76|Albuquerque|New Mexico|5.125%|2.188%|7.313%|77
77|Lincoln|Nebraska|5.500%|1.750%|7.250%|78
78|Charlotte|North Carolina|4.750%|2.500%|7.250%|78
79|Toledo|Ohio|5.750%|1.500%|7.250%|78
80|Bakersfield|California|7.250%|0.000%|7.250%|81
81|Fort Wayne|Indiana|7.000%|0.000%|7.000%|82
82|Indianapolis|Indiana|7.000%|0.000%|7.000%|82
83|Omaha|Nebraska|5.500%|1.500%|7.000%|82
84|Fayetteville|North Carolina|4.750%|2.250%|7.000%|82
85|Cincinnati|Ohio|5.750%|1.250%|7.000%|82
86|Hialeah|Florida|6.000%|1.000%|7.000%|87
87|Jacksonville|Florida|6.000%|1.000%|7.000%|87
88|Miami|Florida|6.000%|1.000%|7.000%|87
89|St. Petersburg|Florida|6.000%|1.000%|7.000%|87
90|Tampa|Florida|6.000%|1.000%|7.000%|87
91|Pittsburgh|Pennsylvania|6.000%|1.000%|7.000%|87
92|Jersey City|New Jersey|6.875%|0.000%|6.875%|93
93|Newark|New Jersey|6.875%|0.000%|6.875%|93
94|Greensboro|North Carolina|4.750%|2.000%|6.750%|95
95|Raleigh|North Carolina|4.750%|2.000%|6.750%|95
96|Winston-Salem|North Carolina|4.750%|2.000%|6.750%|95
97|Orlando|Florida|6.000%|0.500%|6.500%|98
98|Boston|Massachusetts|6.250%|0.000%|6.250%|99
99|Chesapeake|Virginia|5.300%|0.700%|6.000%|100
100|Norfolk|Virginia|5.300%|0.700%|6.000%|100
101|Virginia Beach|Virginia|5.300%|0.700%|6.000%|100
102|Boise City|Idaho|6.000%|0.000%|6.000%|103
103|Des Moines|Iowa|6.000%|0.000%|6.000%|103
104|Lexington-Fayette|Kentucky|6.000%|0.000%|6.000%|103
105|Louisville|Kentucky|6.000%|0.000%|6.000%|103
106|Baltimore|Maryland|6.000%|0.000%|6.000%|103
107|Detroit|Michigan|6.000%|0.000%|6.000%|103
108|Arlington|Virginia|5.300%|0.700%|6.000%|103
109|Washington|District of Columbia|5.750%|0.000%|5.750%|110
110|Milwaukee|Wisconsin|5.000%|0.600%|5.600%|111
111|Madison|Wisconsin|5.000%|0.500%|5.500%|112
112|Richmond|Virginia|5.300%|0.000%|5.300%|113
113|Honolulu|Hawaii|4.000%|0.500%|4.500%|114
114|Anchorage|Alaska|0.000%|0.000%|0.000%|115
115|Portland|Oregon|0.000%|0.000%|0.000%|115
